originals	paraphrase_1	paraphrase_2	paraphrase_3	paraphrase_4
However, causality does not have a fixed list of lexical or syntactic constructions.	Nevertheless, causality lacks a predetermined inventory of lexical or syntactic constructions.	A fixed list of lexical or syntactic constructions is not something causality possesses.	There is no established catalog of lexical or syntactic constructions that defines causality.	Causality, however, cannot be characterized by any static collection of lexical or syntactic constructions.
Hidey and McKeown (2016) stressed the issue of the limited coverage of causal expressions and released a corpus with a larger amount of causal expressions than PDTB.	The limited coverage of causal expressions was emphasized by Hidey and McKeown (2016), who subsequently published a corpus containing more causal expressions than PDTB.	Hidey and McKeown (2016) highlighted the problem of insufficient causal expression coverage and provided a corpus featuring a greater quantity of causal expressions compared to PDTB.	In 2016, Hidey and McKeown emphasized concerns regarding the restricted scope of causal expressions and made available a corpus that includes more extensive causal expressions than those found in PDTB.	The inadequate coverage of causal expressions was underscored by Hidey and McKeown (2016), leading them to create and distribute a corpus with an expanded collection of causal expressions relative to PDTB.
They also proposed a classification method, which is based on the use of features from the corpus and features from lexical resources.	A classification method was also proposed by them, utilizing features derived from both the corpus and lexical resources.	Additionally, they put forward a classification approach that draws upon features extracted from lexical resources as well as corpus-based features.	Furthermore, their proposed classification technique combines features obtained from lexical resources with those sourced from the corpus.	They additionally introduced a classification strategy that relies on incorporating features from both corpus data and lexical resources.
The last set of features reduces the ability of the system to classify causality, because they restrict the system to the causal definition of the lexical resources.	Because these features limit the system to the causal definition found in lexical resources, the final feature set diminishes the system's capacity for causality classification.	The final feature group impairs causality classification performance by constraining the system within the causal definition provided by lexical resources.	Causality classification becomes less effective with the last feature set, as it confines the system to operating under the causal definition from lexical resources.	By limiting the system to the causal definition of lexical resources, the final set of features weakens its ability to classify causality.
Causal meaning disambiguation is the task of identifying whether there is a causal relation between two events.	The task of causal meaning disambiguation involves determining if a causal relation exists between two events.	Identifying the presence or absence of a causal relation between two events constitutes causal meaning disambiguation.	When we perform causal meaning disambiguation, we assess whether two events share a causal relation.	The objective of causal meaning disambiguation is to establish if two events are causally related.
We hypothesize that neural networks are able to encode the meaning of those events, and discover whether the underlying relation between them is causal.	Our hypothesis is that neural networks can capture the semantic content of such events and determine if there exists a causal relationship underlying their connection.	We propose that neural networks possess the capability to represent the semantics of these events and identify whether their underlying relationship is causal in nature.	It is our conjecture that neural networks can learn to represent the meaning behind these events while detecting any causal relations that may exist between them.	We theorize that the meaning of these events can be encoded by neural networks, which can then ascertain whether causal relationships underlie their connections.
Herein, we contribute a neural network architecture for the task of causality disambiguation and we assess it in the corpus of Hidey and McKeown (2016).	We present a neural network architecture designed for causality disambiguation and evaluate its performance using the Hidey and McKeown (2016) corpus.	This work introduces a neural network model to address causality disambiguation, with assessment conducted on the Hidey and McKeown (2016) corpus.	A neural network architecture targeting causality disambiguation is proposed in this study, and its effectiveness is tested against the Hidey and McKeown (2016) corpus.	In this paper, we propose a neural network design for resolving causality disambiguation, evaluating it through experiments on the Hidey and McKeown (2016) corpus.
Empiric results on this corpus show that our claim indeed holds.	This corpus yields empiric results that confirm our claim is correct.	Our claim is substantiated by the empiric results obtained from this corpus.	The empiric data from this corpus validates that our claim is true.	Analysis of this corpus produces empiric results supporting our claim.
Khoo et al.				
(1998) presented one of the first works related to the classification of causal relations.				
The authors defined a set of linguistic rules for the identification of cause-effect relations, and developed a pattern matching system based on those rules.	A pattern matching system was developed by the authors, grounded in a set of linguistic rules they defined for identifying cause-effect relations.	Based on linguistic rules they established for recognizing cause-effect relations, the authors created a pattern matching system.	The authors established linguistic rules to identify cause-effect relations and built a corresponding pattern matching system using these rules.	A set of linguistic rules for cause-effect relation identification was defined by the authors, who then constructed a pattern matching system utilizing those rules.
The errors of the system show the common errors of a full linguistically grounded classification system, which are related to the ambiguity of some causal links such as by or as or the lexical and syntactic ambiguity of some causative verbs.	A full linguistically grounded classification system commonly exhibits errors that stem from ambiguous causal links like by or as, as well as the lexical and syntactic ambiguity present in certain causative verbs, and these same types of errors appear in the system's performance.	What the system's errors reveal are typical problems found in comprehensive linguistically grounded classification systems, particularly those arising from unclear causal connections such as by or as and from causative verbs that carry both lexical and syntactic ambiguity.	The system demonstrates error patterns characteristic of complete linguistically grounded classification systems, with difficulties emerging from ambiguous causal relationships like by or as and from causative verbs that exhibit lexical and syntactic ambiguity.	Common to full linguistically grounded classification systems are certain error types related to ambiguous causal links such as by or as and to the lexical and syntactic ambiguity of causative verbs, and the system's errors reflect these same issues.
Those errors are related to the lack of evidence of the syntax basis of causation (Neeleman and van de Koot, 2012).	The absence of evidence for causation's syntax basis accounts for those errors (Neeleman and van de Koot, 2012).	Such errors stem from insufficient evidence regarding the syntax basis of causation (Neeleman and van de Koot, 2012).	According to Neeleman and van de Koot (2012), these errors arise from the missing evidence for causation's syntax basis.	The errors in question can be attributed to inadequate proof of the syntax basis of causation (Neeleman and van de Koot, 2012).
Girju (2003) proposed a decision tree learning method to classify causal relations between events.				
The type of relations studied by the author are those conveyed by a verb and two noun phrases.	The author examines relations that involve a verb combined with two noun phrases.	Relations consisting of a verb and two noun phrases form the focus of the author's study.	What the author investigates are relations expressed through a verb accompanied by two noun phrases.	The author's research centers on relations that are communicated via a verb plus two noun phrases.
"The clas-
sification method uses as lexical features whether the verb of the sentence belongs to a list of ambiguous causative verbs, and whether the nouns belongs to one of the nine semantic hierarchies in WordNet."				
Again, the main source of errors is the ambiguity of the projection of causality in natural language.	Once more, the primary cause of errors stems from the unclear nature of how causality is projected in natural language.	The ambiguity inherent in natural language's projection of causality remains the principal source of errors.	Errors arise chiefly from the ambiguous way causality gets projected through natural language.	The chief culprit behind errors is how ambiguously natural language projects causality.
Bethard and Martin (2008) defined a method for the classification of causal relations between verbal events in conjunction constructions, namely conjoined events.	A method for classifying causal relations between verbal events in conjunction constructions—specifically conjoined events—was defined by Bethard and Martin (2008).	In 2008, Bethard and Martin introduced a classification approach for causal relations occurring between verbal events within conjunction constructions, referred to as conjoined events.	The classification of causal relations between verbal events found in conjunction constructions, termed conjoined events, was addressed through a method proposed by Bethard and Martin (2008).	Bethard and Martin's 2008 work established an approach for categorizing causal relations that exist between verbal events in conjunction constructions, which they called conjoined events.
Since the method was defined for a specific kind of causal relation between events, the authors had to first create a corpus following that requirement.	Given that their method targeted a specialized form of causal relation between events, the authors were required to build a corresponding corpus first.	Because their approach was tailored to handle a distinct category of causal relation between events, creating an appropriate corpus became the authors' initial task.	As their technique was crafted for handling a specific type of causal relation between events, the authors had to begin by establishing a relevant corpus.	The requirement to first generate an appropriate corpus arose because the authors' method addressed only a certain kind of causal relation between events.
The authors developed a supervised classification system using syntactic and semantic features from WordNet, and they used SVM as a classification algorithm.	A supervised classification system was developed by the authors, incorporating syntactic and semantic features derived from WordNet, with SVM serving as the classification algorithm.	Using SVM as their classification algorithm, the authors created a supervised classification system that utilized syntactic and semantic features extracted from WordNet.	The researchers constructed a supervised classification framework that employed syntactic and semantic features sourced from WordNet, implementing SVM for classification purposes.	Through the use of syntactic and semantic features obtained from WordNet, the authors built a supervised classification system where SVM functioned as the classification algorithm.
The drawback of the method is its reduced flexibility, because it is only defined for a specific causal construction and its confidence in syntactic features.	Reduced flexibility constitutes the method's disadvantage, as it operates exclusively within a single causal construction while depending heavily on syntactic features.			
Moreover, the authors conclude that semantic features are more adequate for causality classification than syntactic features, which goes in the direction of our claim.	The authors further determine that causality classification benefits more from semantic features than syntactic ones, supporting our assertion.	Additionally, the authors reach the conclusion that semantic features prove superior to syntactic features for causality classification, aligning with our position.	Furthermore, the authors establish that semantic features demonstrate greater suitability for causality classification compared to syntactic features, reinforcing our argument.	The authors also find that causality classification is better served by semantic features rather than syntactic features, which supports our contention.
The first attempt of encoding the contextual information for causality classification between events is found in Do et al.	Do et al. represents the initial effort to encode contextual information for classifying causal relationships between events.	In Do et al., we find the earliest approach to incorporating contextual information into causality classification systems for events.	The pioneering work on encoding contextual information to classify causality between events can be traced back to Do et al.	Do et al. marks the beginning of attempts to capture contextual information for the purpose of event causality classification.
(2011).				
The authors defined a measure of the causality relation between two events according to the co-occurrence frequency between the predicates and their arguments.	A causality relation measure between two events was established by the authors based on how frequently predicates and their arguments co-occur.	According to the co-occurrence frequency of predicates and their arguments, the authors created a metric for measuring causality relations between two events.	The co-occurrence frequency between predicates and their arguments served as the basis for the authors' definition of a causality relation measure between two events.	By examining how often predicates and their arguments appear together, the authors formulated a measure for causality relations between two events.
The measure is inspired by the causality score defined by Riaz and Girju (2010).				
Following the work of Do et al.	In accordance with the findings of Do et al.	As established in the research of Do et al.	In line with the approach taken by Do et al.	
(2011), Riaz and Girju (2013, 2014) built a knowledge base for causal events, first for events related by a pair of verbs, and then for events conveyed by pairs of verbs and noun phrases.				
In these works, the authors attempted to go in the direction of using distributional semantics in order to encode the causal meaning, but they still rely on the use of lexical and syntactic features.	These studies saw authors trying to leverage distributional semantics for encoding causal meaning, yet they continued to depend on lexical and syntactic features.	The researchers in these publications sought to employ distributional semantics to capture causal meaning, while maintaining their reliance on lexical and syntactic features.	Authors of these works made efforts toward utilizing distributional semantics for causal meaning encoding, though lexical and syntactic features remained central to their approach.	Within these publications, there was an attempt by the authors to move toward distributional semantics for representing causal meaning, but lexical and syntactic features were still essential components.
Thus, the main drawbacks of those papers are the complex featuring engineering process to detect the causal relation, and the restricted coverage of the resulting knowledge bases.				
Following the previous approaches, Mirza and Tonelli (2016) described a causal classification system built upon a rule based system and a machine learning algorithm based on lexical, syntactic and semantic features.	Building on earlier methodologies, Mirza and Tonelli (2016) presented a causal classification system that combined a rule based system with a machine learning algorithm utilizing lexical, syntactic and semantic features.	In line with prior work, a causal classification system was described by Mirza and Tonelli (2016), which integrated both a rule based system and a machine learning algorithm that employed lexical, syntactic and semantic features.	Mirza and Tonelli (2016) outlined a causal classification system that built upon a rule based system alongside a machine learning algorithm incorporating lexical, syntactic and semantic features, continuing from previous methodological approaches.	Adopting the framework of earlier studies, Mirza and Tonelli (2016) developed a causal classification system through the combination of a rule based system and a machine learning algorithm that leveraged lexical, syntactic and semantic features.
The novelty lies in the use of features of temporal relations.	Features of temporal relations provide the novel contribution here.			
The work of Mirza and Tonelli (2016) has similar issues to the work of (Bethard and Martin, 2008), because they use similar features to represent causality.				
"3
Sentence Type
(Cathay Pacific delayed both legs of its quadruple daily Hong Kong to London route)e1 ([due to]l this disruption in air traffic services."				
)e2 Explicit (The factory was not well equipped to handle the gas)e1 (created by the sudden addition of water to the MIC tank.				
")e2 Implicit
Table 1: Explicit and implicit causal relations
The previous works support the idea that causality is defined by a specific syntactic construction or the semantics of verbs known as causative verbs."				
On the other hand, some of the works restricted their study to a narrow kind of syntactic constructions, such as the conjoined events of Bethard and Martin (2008).	Conversely, certain studies limited their investigations to specific types of syntactic structures, including the conjoined events examined by Bethard and Martin (2008).	However, a number of these studies confined their research to particular syntactic construction categories, like the conjoined events that Bethard and Martin (2008) analyzed.	In contrast, several works focused exclusively on limited varieties of syntactic patterns, exemplified by Bethard and Martin's (2008) work on conjoined events.	Alternatively, certain research efforts constrained their scope to specialized syntactic construction types, as demonstrated in Bethard and Martin's (2008) study of conjoined events.
In contrast, we argue that the representation of causality should not be limited by syntactic patterns or the coverage of semantic resources, due to the lack of a particular linguistic construction for causality.	We contend, however, that causality representation ought not be constrained by syntactic patterns or semantic resource coverage, given the absence of a specific linguistic construction for causality.	Conversely, our position is that representing causality should transcend the limitations imposed by syntactic patterns and semantic resource scope, since causality lacks a dedicated linguistic construction.	On the contrary, we maintain that causality's representation must not be restricted to what syntactic patterns or semantic resources can cover, precisely because causality has no particular linguistic construction.	We propose instead that the way causality is represented should extend beyond syntactic pattern boundaries and semantic resource limitations, as causality does not possess a specific linguistic construction.
Therefore, we propose the neural encoding of the context of the relation in order to disambiguate its causal meaning.	To disambiguate its causal meaning, we thus suggest employing neural encoding for the relation's context.	We consequently put forward neural encoding of relational context as a method for disambiguating causal meaning.	Neural encoding of the relation's context is what we propose as a solution for disambiguating its causal meaning.	For the purpose of disambiguating causal meaning, our proposal involves neural encoding of the contextual information surrounding the relation.
The next sections expose the definition of the task (Section 3.1), the data used in the experiments (Section 3.2) and the proposed system (Section 3.3).				
Causality is defined as the semantic relation between two events (e1, e2), namely causing event (cause, e1) and caused event (effect, e2).				
An event may be a verb, whose arguments may be explicitly present or not (subject, verb, object), or a noun phrase.				
The relation can be explicit or implicit, in case it is explicitly expressed, it is signalled by a lexical marker (l), which may be a verb, a preposition, an adverb or an expression such as as a result of, see Table 1.				
Some researchers impose two additional restrictions: the temporal restriction, which means that the causing event should take place before the caused event, and the counterfactual one, which says if the causing event did not occur, the caused event would not have occurred either.	Two additional restrictions are imposed by some researchers: first, the temporal restriction requiring the causing event to precede the caused event, and second, the counterfactual restriction stating that without the causing event, the caused event would also not have taken place.	Certain researchers apply two further constraints: the temporal restriction demands that causing events must happen prior to caused events, while the counterfactual restriction asserts that caused events would be absent if their causing events had not occurred.	Additional restrictions are established by some researchers, including the temporal restriction whereby causing events must occur before caused events, and the counterfactual restriction whereby the absence of a causing event would result in the absence of the caused event.	Among some researchers, two extra restrictions are implemented: the temporal restriction ensures causing events happen before caused events, and the counterfactual restriction maintains that without causing events, their corresponding caused events would not exist.
Thus, causation can be formally defined as e1 → e2.				
"An example from the test set used in the experiments that follows the three restrictions is the following:
A government affidavit in 2006 stated that (the leak)e1 (caused 558,125 injuries, including 38,478 temporary partial injuries and approximately 3,900 severely and permanently disabling injuries)e2
It is evident that e1 is before e2 and if the leak did not occur, the set of events in e2 would not occur."				
Nevertheless, we support the same opinion as Neeleman and van de Koot (2012) and we do not add the counterfactual constraint in our definition, because it is not true in all the cases.	However, we align with the perspective of Neeleman and van de Koot (2012) and choose not to incorporate the counterfactual constraint into our definition, since it does not hold universally.	We share the view expressed by Neeleman and van de Koot (2012) and therefore exclude the counterfactual constraint from our definition, as it fails to apply in every instance.	In agreement with Neeleman and van de Koot (2012), we refrain from including the counterfactual constraint in our definition, given that it lacks universal validity.	Like Neeleman and van de Koot (2012), we maintain the position that the counterfactual constraint should be omitted from our definition, as it cannot be applied across all scenarios.
"For example:
(The argument between John’s parents)e1 (broke the window)e2
If we follow the counterfactual constraint, the event of the argument between the John’s parents should be the causing event."				
However, the human mental model of causality does not usually relate an argument with the breaking of a window.	Nevertheless, people typically don't connect an argument to a window breaking in their mental model of causality.	The way humans mentally conceptualize causality, though, doesn't normally link an argument to the breaking of a window.	Yet in the human cognitive framework for understanding causality, an argument isn't commonly associated with the breaking of a window.	Still, when humans think about causal relationships, they don't ordinarily tie an argument to a window breaking.
Causation is concerned with the human understanding of the world and not with the world itself.	The focus of causation lies in how humans comprehend the world rather than in the world's inherent nature.	Human comprehension of the world, not the world as it exists independently, is what causation addresses.	What causation deals with is our human interpretation of the world, not the world in its own right.	Rather than engaging with the world directly, causation engages with humanity's perception of that world.
Concerning the temporal restriction, it should be interpreted as a physical ordering constraint and not as a positional one.	Regarding the temporal restriction, it ought to be understood as a constraint on physical ordering rather than positional ordering.	The temporal restriction should be viewed as imposing a physical ordering constraint instead of a positional constraint.	As for the temporal restriction, one must interpret it as a constraint governing physical ordering, not positional ordering.	With respect to the temporal restriction, the proper interpretation involves treating it as a physical ordering constraint rather than one that is positional.
That means, the causing event does not always appear before the caused event in the sentence.	This indicates that the caused event may precede the causing event within the sentence structure.	Put differently, within sentence boundaries, the caused event can appear before its corresponding causing event.		
"The caused event (e2) is before the causing event (e1) in the following example:
(This water was diverted)e2 ([due to]l a combination of improper maintenance, leaking and clogging, and eventually ended up in the MIC storage tank."				
")e1
Some related work attempted to identify the causing, the caused event and its direction (Mirza and Tonelli, 2016), but for that purpose, they restricted the study to a specific syntactic construction."				
We claim that the task of causality classification has not to be restricted to a syntactic construction and it has to be set up as a two steps task: causal meaning classification and causal arguments identification.	Our assertion is that causality classification should not be limited to syntactic construction alone, but rather structured as a dual-phase process: first classifying causal meaning, then identifying causal arguments.	It is our position that the causality classification task must extend beyond syntactic construction constraints and be organized into two distinct steps: causal meaning classification and causal arguments identification.	We argue that causality classification cannot be confined to syntactic construction and must be approached through a two-stage methodology: the classification of causal meaning followed by the identification of causal arguments.	The causality classification task, we contend, should not be bound by syntactic construction limitations and requires implementation as a bifurcated approach: causal meaning classification and causal arguments identification.
The task of causal meaning classification is a binary classification task that is defined as the disambiguation of the causal meaning of the relation of two events.	Causal meaning classification constitutes a binary classification task involving the disambiguation of how two events are causally related.	As a binary classification task, causal meaning classification involves disambiguating the causal relationship that exists between two events.	The disambiguation of causal relationships between pairs of events defines the binary classification task known as causal meaning classification.	Binary classification of causal meaning focuses on disambiguating the nature of causal relations that connect two events.
The input of the task is two events and the output is the meaning of the relation (Causal or Non Causal).	Two events serve as the task's input, while the relation's meaning (Causal or Non Causal) constitutes the output.	This task takes two events as input and produces the relational meaning (Causal or Non Causal) as its output.	The task receives two events and yields the meaning of their relationship (Causal or Non Causal).	Given two events as input, the task generates the meaning of how they relate (Causal or Non Causal).
The task of causal argument identification is focused on the identification of the causing (e1) and caused (e2) events.				
The aim of this paper is to contribute to the first subtask, so given two events (e1, e2) and the expression susceptible of signalling causality (l), the system returns the meaning of the relation (Causal or Non Causal).				
The following sentence is an example of the input of our system.	Our system receives input like the sentence that follows.	What follows serves as an example of input to our system.	The sentence below demonstrates the type of input our system processes.	This sentence exemplifies what our system takes as input.
"(He fell in love with her and changed his life)e1 ([so]l he could help her)e2
4
Sentence Meaning
An undercroft is traditionally a cellar or storage room, often brick-lined and vaulted, and used for storage in buildings since medieval times
Temporal
Additionally if one is to use a large scan range then sensitivity of the instrument is decreased due to performing fewer scans per second since each scan will have to detect a wide range of mass fragments
Causal
In stark contrast to his predecessor, five days after his election he spoke of his determination to do what he could to bring peace Temporal Bischoff in a round table discussion claimed he fired Austin after he refused to do a taping in Atlanta Causal
Table 2: Examples of different meanings of the prepositions since and after taken from the AltLex corpus"				
Causality may be signalled by a verb (cause), a preposition (because), an adverb (subsequently) or an expression such as as a result of.				
Some of those causal expressions are almost unambiguous, but the causal meaning of others totally depends on the context.	While certain causal expressions are nearly unambiguous, others derive their causal meaning entirely from context.	A few causal expressions carry almost clear meanings, yet for others, context completely determines their causal interpretation.	Among causal expressions, some are virtually unambiguous, but others require context to establish any causal meaning whatsoever.	Context plays no role in interpreting some causal expressions that are almost unambiguous, while it completely governs the causal meaning of others.
For instance, according to PDTB, the preposition because is an unambiguous lexical marker of causation, but there are other expressions whose causal meaning is not unarguable, such as since or after that may have a temporal or a causal interpretation, see Table 2.	One can observe in PDTB that because represents an unquestionable lexical indicator of causation, but expressions like since or after have disputable causal meanings that permit temporal or causal understanding, see Table 2.			
Therefore, we need a corpus in which the events, the lexical marker and the meaning of the relation are annotated.	Hence, a corpus is required where the events, lexical marker, and relational meaning are all annotated.	We must have a corpus that contains annotations for the events, the lexical marker, and the relation's meaning.	A corpus with annotated events, lexical marker, and relational meaning is what we require.	It is necessary for us to obtain a corpus that has been annotated for events, the lexical marker, and the meaning of the relation.
To the best of our knowledge, there are three available corpora.	As far as we know, three corpora are currently available.	According to our understanding, there exist three accessible corpora.	From what we can determine, three corpora can be found.	Within our present understanding, three corpora have been made available.
