originals	paraphrase_1	paraphrase_2	paraphrase_3	paraphrase_4
The cosine similarity captures the difference in the two vectors in terms of the angle between then, the euclidean distance measures the difference in magnitude, and the dot product captures both magnitude and angle.	While the dot product captures both magnitude and angle, cosine similarity focuses on the angular difference between two vectors, and euclidean distance quantifies the magnitude difference.	The angular difference between two vectors is captured by cosine similarity, euclidean distance quantifies their magnitude difference, while the dot product encompasses both angular and magnitude aspects.	Three measures capture different aspects: cosine similarity reflects the angular relationship between vectors, euclidean distance assesses magnitude differences, and the dot product combines both magnitude and angular information.	Regarding vector comparison, the dot product integrates both magnitude and angle information, whereas cosine similarity isolates the angular difference and euclidean distance focuses solely on magnitude differences.
We apply these measures to three types of representations.	These measures are applied by us to three types of representations.	Three types of representations receive the application of these measures.	To three types of representations, we implement these measures.	These measures get utilized across three types of representations.
Our first set of similarities is intended to directly capture the similarities between contextualized word representations (Section 3.1).				
We calculate pairwise similarities between (~wl,max, ~wr,max), (~wl,min, ~wr,min), (~wl,mean, ~wr,mean), as well as between the context-agnostic representations (~wl, ~wr).				
Second, we add similarities based on Context2Vec representations, i.e.				
between each pair of ~wl,c2v, ~wr,c2v, ~cl,c2v, and ~cr,c2v.				
Finally, following Shwartz and Dagan (2015), we capture the similarity of the most relevant word to wl in cr, that to wr in cl, as well as between cl and cr.				
"We therefore add the following three similarities, as well as their pairwise products:
max w∈cr ~wl · ~w, max w∈cl ~wr · ~w, max w∈cl,w′∈cr ~w · ~w′
4
Word : Study Example : he knocked on the door of the study
Word : Study Example : he made several studies before the final painting
Word : Room Example : the rooms were small but comfortable
Word : Drawing Example : he did complicated pen-and-ink drawings
Figure 2: Sample dataset creation process based on two synsets of the word study."				
The green/solid lines indicate positive examples, while the red/dashed lines indicate negative examples	Positive examples are represented by green/solid lines, whereas negative examples are represented by red/dashed lines.	While red/dashed lines denote negative examples, green/solid lines denote positive examples.	Green/solid lines are used to show positive examples, and red/dashed lines are used to show negative examples.	Negative examples are indicated by red/dashed lines, while positive examples are indicated by green/solid lines.
We evaluate our models of lexical entailment in context on three complementary datasets.	Three complementary datasets serve as the basis for evaluating our models of lexical entailment in context.	Our models of lexical entailment in context undergo evaluation using three complementary datasets.	The evaluation of our models of lexical entailment in context is conducted across three complementary datasets.	Three complementary datasets are utilized to assess our models of lexical entailment in context.
The first dataset, CONTEXT-PPDB, is a finegrained lexical inference dataset created using 375 word pairs from a subset of the English Paraphrase Database (Ganitkevitch et al., 2013; Pavlick et al., 2015b).				
These word pairs are semiautomatically labeled with semantic relations outof-context.	Semantic relations are assigned to these word pairs through semiautomatic labeling without contextual information.	Through semiautomatic processes, these word pairs receive semantic relation labels that lack contextual grounding.	Without considering context, these word pairs undergo semiautomatic labeling for their semantic relations.	Semantic relation labeling is applied semiautomatically to these word pairs in the absence of context.
Shwartz and Dagan (2015) augmented them with examples of word usage in context, and re-annotating word pairs given the extra contextual information.				
The final dataset consists of 3750 words/contexts tuples with a corresponding label from Table 2, one of which is entailment.	The complete dataset contains 3750 tuples of words/contexts, each assigned a label from Table 2, including entailment as one option.	A total of 3750 words/contexts tuples make up the final dataset, with each tuple receiving a label from Table 2, where entailment represents one possible classification.	3750 tuples pairing words with contexts comprise the final dataset, and each receives a corresponding label selected from Table 2, with entailment being among the available labels.	The completed dataset encompasses 3750 words/contexts tuples, where every tuple gets assigned one label from Table 2, and entailment serves as one of the labeling options.
In addition to CONTEXT-PPDB, we would like a test set for controlled analysis of lexical entailment in context.	Beyond CONTEXT-PPDB, our goal is to create a test set that enables controlled analysis of lexical entailment in context.	We aim to develop a test set for controlled analysis of lexical entailment in context, supplementing CONTEXT-PPDB.	A test set designed for controlled analysis of lexical entailment in context is desired as a complement to CONTEXT-PPDB.	Our intention is to construct a test set that facilitates controlled analysis of lexical entailment in context, alongside CONTEXT-PPDB.
We would like to directly assess the sensitivity of our models to contexts that signal different word senses, as well as quantify the extent to which our models detect asymmetric entailment relations rather than semantic similarity.	Our goal is to evaluate how responsive our models are to contextual cues indicating distinct word senses, while also measuring how well they identify asymmetric entailment relations instead of semantic similarity.	We aim to conduct a direct evaluation of our models' responsiveness to contexts indicating various word senses, and to measure the degree to which they recognize asymmetric entailment relations rather than semantic similarity.	The objective is to perform a straightforward assessment of how sensitive our models are to contextual signals of different word senses, plus determine how much they capture asymmetric entailment relations versus semantic similarity.	We seek to examine directly whether our models respond appropriately to contexts that indicate varying word senses, and to determine the extent of their ability to detect asymmetric entailment relations as opposed to semantic similarity.
Based on the above criteria, we introduce a large-scale dataset automatically extracted from WordNet (Fellbaum, 1998a).				
We call this dataset CONTEXT-WN.				
WordNet groups synonyms into synsets.	Synonyms are organized into synsets by WordNet.	WordNet organizes synonyms by grouping them into synsets.	synsets are the structures WordNet uses to group synonyms together.	The grouping of synonyms into synsets is how WordNet operates.
Most synsets are further accompanied by one or more short sentences illustrating the use of the members of the synset.	One or more brief sentences that demonstrate how synset members are used typically accompany most synsets.	The majority of synsets include accompanying short sentences that exemplify the usage of their constituent members.	Short illustrative sentences showing the application of synset members are provided alongside most synsets.	Additional short sentences demonstrating member usage are included with the majority of synsets.
The idea behind CONTEXT-WN is to use these example sentences as context for the words, and hypernymy relations to draw examples of lexical entailment relations.	CONTEXT-WN operates on the principle of leveraging example sentences to provide context for words, while utilizing hypernymy relations to generate instances of lexical entailment relations.	The fundamental concept of CONTEXT-WN involves employing example sentences as contextual frameworks for words and exploiting hypernymy relations to extract lexical entailment relations examples.	CONTEXT-WN's underlying approach centers on utilizing example sentences to contextualize words and drawing upon hypernymy relations to produce examples of lexical entailment relations.	The core principle driving CONTEXT-WN is the application of example sentences for word contextualization, combined with hypernymy relations serving as sources for lexical entailment relations examples.
"The entire process starts from a seed list of words W and proceeds as follows (see Figure 2 for an illustration) :
1."	Beginning with a seed list of words W, the complete procedure unfolds in the following manner (refer to Figure 2 for a visual representation):	The whole methodology initiates using a seed list of words W and advances through these steps (Figure 2 provides an illustration):	Starting with a seed list of words W, the full approach develops according to the sequence below (consult Figure 2 for clarification):	A seed list of words W serves as the foundation from which the comprehensive process evolves as detailed here (see Figure 2 for demonstration):
"For each word type w ∈ W with multiple synsets, obtain all synsets Sw.
2."				
For each synset i ∈ Sw, pick a hypernym synset sih, with a corresponding word form wih.				
"Also obtain c
i and cih which are example sentences corresponding to wi and wih respectively - (wi, wih, c
i, cih) serves as a positive example."				
3.				
Permute the positive examples to get negative examples.	Generate negative examples by permuting the positive examples.	To obtain negative examples, apply permutations to the positive examples.	Rearrange the positive examples through permutation to create negative examples.	Negative examples can be derived by performing permutations on the positive examples.
"From (wi, wih, c
i, cih) and (wj , wjh, c
j , cjh), generate negative examples (wi, wjh, c i, cjh) and (w j , wih, c j , cih)."				
4.				
Flip the positive examples to generate more negative examples.	Transform the positive examples into additional negative examples by flipping them.	Convert the positive examples to create a greater number of negative examples.	Reverse the positive examples in order to produce more negative examples.	Generate additional negative examples by inverting the positive examples.
"From (wi, wih, c
i, cih) generate the negative example (wih, w i, cih, c i)."				
We run this process using the 9000 most frequent words from Wikipedia as W (after filtering the top 1000 as stopwords).	This process is executed with W consisting of the 9000 most frequent words from Wikipedia (following the removal of the top 1000 as stopwords).	The procedure operates on W, which contains Wikipedia's 9000 most common words, having first excluded the top 1000 that serve as stopwords.	Using Wikipedia's 9000 most frequent words as W, we execute this process after eliminating the top 1000 words classified as stopwords.	The process gets implemented with W defined as the 9000 most common Wikipedia words, subsequent to filtering out the initial 1000 stopwords.
This yields a total of 5239 positive examples.	A total of 5239 positive examples results from this process.	5239 positive examples are produced as a result.	The final count reaches 5239 positive examples.	A grand total of 5239 positive examples emerges from this approach.
We sample an equal number of negative examples from Step 3, with another 5239 examples being generated in Step 4.	From Step 3, we sample an equivalent quantity of negative examples, while Step 4 produces an additional 5239 examples.	An equal number of negative examples are sampled from Step 3, and Step 4 generates another 5239 examples.	Step 3 provides us with an equal number of negative examples through sampling, whereas Step 4 creates another 5239 examples.	The same quantity of negative examples is sampled from Step 3, with Step 4 contributing another 5239 examples to the generation process.
The final dataset consists of 10478 negative examples.	The complete dataset contains 10478 negative examples.	10478 negative examples make up the final dataset.	A total of 10478 negative examples comprise the resulting dataset.	The concluding dataset is composed of 10478 negative examples.
CONTEXT-WN satisfies our desiderata.				
The dataset has a very specific focus since we only pick hypernym-hyponym pairs.	Since we exclusively select hypernym-hyponym pairs, the dataset maintains a highly targeted scope.	The dataset possesses an extremely narrow concentration because our selection is limited to hypernym-hyponym pairs alone.	A highly concentrated focus characterizes the dataset, as hypernym-hyponym pairs represent our only selection criteria.	The dataset demonstrates exceptional specificity due to our exclusive choice of hypernym-hyponym pairs.
The negative examples generated in Steps 3 and 4 require discriminating between different word senses and entailment directions.	Steps 3 and 4 produce negative examples that demand the ability to distinguish between various word senses and entailment directions.	Discriminating between different word senses and entailment directions is necessary for the negative examples created during Steps 3 and 4.	The negative examples that emerge from Steps 3 and 4 necessitate discrimination between varying word senses and entailment directions.	In Steps 3 and 4, the generated negative examples call for distinguishing among different word senses and entailment directions.
Finally, with over 15000 examples distributed over 6000 word pairs, the dataset is almost five times as large as CONTEXT-PPDB.	The dataset contains more than 15000 examples across 6000 word pairs, making it nearly five times larger than CONTEXT-PPDB.	At nearly five times the size of CONTEXT-PPDB, this dataset encompasses over 15000 examples spanning 6000 word pairs.	In terms of scale, the dataset dwarfs CONTEXT-PPDB by almost five times, featuring more than 15000 examples spread across 6000 word pairs.	With its collection of over 15000 examples distributed among 6000 word pairs, the dataset achieves almost five times the magnitude of CONTEXT-PPDB.
We use a 70/5/25 train/dev/test split as in CONTEXT-PPDB.				
We also ensure that each set contains different word pairs, to avoid memorization and overfitting (Levy et al., 2015).				
Our final dataset takes a cross-lingual view of lexical entailment in context.	The final dataset we present adopts a cross-lingual perspective on contextual lexical entailment.	A cross-lingual approach to lexical entailment in context characterizes our final dataset.	We conclude with a dataset that examines lexical entailment in context from a cross-lingual standpoint.	The dataset we ultimately developed considers lexical entailment in context through a cross-lingual lens.
"To create this dataset, we follow the same methodology that was used to create CONTEXT-PPDB, replacing word pairs from PPDB with a set of 100 English-French
5
word pairs labeled as positive out-of-context in the cross-lingual lexical entailment dataset of Vyas and Carpuat (2016)."				
Each word pair (wl, wr) consists of an English word and a French word.				
To add context, we extract 10 sentence pairs (cl, cr) per word pair from the Wikipedia in the corresponding language.				
These thousand examples are then given to annotators on a crowdsourcing platform 2.	A crowdsourcing platform 2 then receives these thousand examples for annotation by workers.	Annotators working on crowdsourcing platform 2 are subsequently provided with these thousand examples.	The thousand examples are subsequently distributed to annotators via crowdsourcing platform 2.	Crowdsourcing platform 2 is used to deliver these thousand examples to annotators for processing.
For each example (wl, wr, cl, cr), the annotators were asked to judge whether wl =⇒ wr given the contexts cl and cr.				
Each example was annotated by 5 workers3.	5 workers3 provided annotations for every example.	Every example received annotations from a total of 5 workers3.	The annotation of each example involved 5 workers3.	5 workers3 were responsible for annotating each individual example.
For each example, we assign the majority judgment as the correct label.	We designate the majority judgment as the correct label for every example.	The majority judgment becomes the correct label that we assign to each example.	In every case, the correct label assigned corresponds to the majority judgment.	Each example receives its correct label based on the majority judgment.
4 or more annotators agree on the label on 540 examples, and we retain only these examples as our test set.	We keep only the 540 examples where 4 or more annotators reached consensus on the label, using these as our test set.	Our test set consists exclusively of 540 examples on which at least 4 annotators provided matching labels.	540 examples received agreement from 4 or more annotators regarding their labels, and these alone constitute our retained test set.	From cases where a minimum of 4 annotators concurred on labeling, we selected 540 examples to form our test set.
This yields a dataset of 374 positive examples and 166 negative examples.	The resulting dataset contains 374 positive examples and 166 negative examples.	A dataset comprising 374 positive examples and 166 negative examples is produced through this process.	374 positive examples and 166 negative examples constitute the dataset that emerges from this approach.	The outcome is a dataset featuring 374 positive examples alongside 166 negative examples.
All experiments on CONTEXT-PPDB and CONTEXT-WN are with the default train/dev/test splits.				
We use 50 dimensional off-the-shelf GloVe embeddings (Pennington et al., 2014) to create ~wl, ~wr, Cl, and Cr.				
To obtain the Context2Vec representations ~wl,c2v, ~wl,c2v, ~cl,c2v, and ~cr,c2v, we use an existing model trained on the ukWaC corpus (Ferraresi et al., 2006) .				
We use Logistic Regression as our classifier for both tasks, to allow for direct comparisons with previous work.	For both tasks, we employ Logistic Regression as the classification method to enable direct comparisons with previous work.	Logistic Regression serves as our classifier across both tasks, facilitating direct comparisons with prior research.	To ensure direct comparisons with previous work are possible, we utilize Logistic Regression as the classifier for both tasks.	Our choice of Logistic Regression as the classifier for both tasks enables direct comparisons with preceding work.
We do not tune parameters of the classifier, except for adding class weights in the CONTEXT-WN experiments to account for the unbalanced data.	Parameter tuning for the classifier is avoided, apart from introducing class weights during CONTEXT-WN experiments to compensate for unbalanced data.	Apart from implementing class weights in CONTEXT-WN experiments to address data imbalance, no parameter tuning is performed on the classifier.	The classifier operates without parameter tuning, with the exception of class weight implementation in CONTEXT-WN experiments to correct for data imbalance.	
As evaluation metric, we use weighted F1 score to compare against previous results, as well as to account for label imbalance in CONTEXT-WN.	We employ weighted F1 score as our evaluation metric for comparison with prior results and to address label imbalance in CONTEXT-WN.	For our evaluation metric, weighted F1 score is utilized both to benchmark against earlier findings and to handle the label imbalance present in CONTEXT-WN.	The weighted F1 score serves as our evaluation metric, enabling comparison with previous work while accounting for CONTEXT-WN's label imbalance issues.	To evaluate performance, we adopt weighted F1 score as the metric, which allows us to compare with past results and compensate for label imbalance in CONTEXT-WN.
We evaluate our models on cross-lingual test set in a transfer setting by training on the training set of CONTEXT-PPDB.	Our models undergo evaluation on a cross-lingual test set through a transfer approach, with training performed on CONTEXT-PPDB's training set.	Using a transfer setting, we assess our models against cross-lingual test data after training them on the CONTEXT-PPDB training set.	The evaluation of our models involves cross-lingual test sets in a transfer configuration, where CONTEXT-PPDB's training set serves as the training data.	Cross-lingual test sets are used to evaluate our models in a transfer setup, following training on the CONTEXT-PPDB training set.
"To represent ~wl, ~wr, we experiment with two different pre-trained, 200- dimensional, bilingual embeddings - BiVec (Luong et al., 2015) and BiCVM (Hermann and Blunsom, 2014), both of which have been shown to be
2www.crowdflower.com 3We will release further details of our annotation task including guidelines and the specific task after the review period."				
suitable for cross-lingual semantic tasks such as dictionary induction and document classification (Upadhyay et al., 2016).				
The classifier is again a Logistic Regression classifier with class weights.	A Logistic Regression classifier with class weights serves as the classifier once more.	Once again, the classification model employed is a Logistic Regression classifier that incorporates class weights.	The classification system remains a Logistic Regression classifier, which includes class weights.	A Logistic Regression classifier equipped with class weights is used as the classifier once more.
Representation-based features only A context-agnostic baseline (Baroni et al., 2012) based on the concatenation of the word type features for (wl, wr) reaches F1 scores of 53.5 using Glove and 54 with Context2Vec (Table 4).				
The contextualized word representations and similarity features yield the best result and improves performance by 14 points.	Performance improves by 14 points when using contextualized word representations and similarity features, which yield the best result.	The best result is achieved through contextualized word representations and similarity features, leading to a 14-point performance improvement.	A 14-point performance boost is obtained from contextualized word representations and similarity features, producing the optimal result.	Contextualized word representations combined with similarity features deliver the superior result while enhancing performance by 14 points.
The similarity features are also effective when used in combination with the Glove or Context2Vec representations, yielding improvements of 12 to 13 points on the baseline.	When combined with Glove or Context2Vec representations, the similarity features demonstrate effectiveness as well, producing baseline improvements of 12 to 13 points.	Baseline improvements of 12 to 13 points are achieved when the similarity features work in conjunction with Glove or Context2Vec representations.	The effectiveness of similarity features extends to their use alongside Glove or Context2Vec representations, resulting in 12 to 13 point gains over the baseline.	Combining similarity features with Glove or Context2Vec representations proves effective, delivering baseline enhancements of 12 to 13 points.
We also note that using ~cl,c2v and ~cr,c2v to add contextual information performs very poorly (F = ~60), regardless of the word type feature, indicating the superiority of our masked representations.				
